partition,repeat,method,lambda_subset,mae,rmse,median_absolute_error,fraction_with_absolute_error_below_0p2,n,mae_vs_pimd8
standardized_exclusion_repeat,4,P1-F_generic_posterior_integral_affine,0p9,2.6707417918161767,3.227551888921795,2.1411820820855665,0.05555555555555555,72,2.6597671827163074
standardized_exclusion_repeat,4,P1-F_solvai_conditioned_posterior_integral_affine,0p9,1.7019966878723616,2.2031676427317994,1.4004556993380795,0.08333333333333333,72,1.6991853147424343
standardized_exclusion_repeat,4,P1-F_generic_posterior_integral_affine,0p1_0p5,1.7056426353981875,2.105118952351444,1.5525348839705064,0.1388888888888889,72,1.6974617936115581
standardized_exclusion_repeat,4,P1-F_solvai_conditioned_posterior_integral_affine,0p1_0p5,1.3446846546402125,1.6368176002809942,1.1038109969396952,0.06944444444444445,72,1.3424378575155371
standardized_exclusion_repeat,4,P1-F_generic_posterior_integral_affine,0p1_0p9,0.999015707742096,1.2955997698054298,0.8582470677223263,0.08333333333333333,72,1.0230052075307254
standardized_exclusion_repeat,4,P1-F_solvai_conditioned_posterior_integral_affine,0p1_0p9,1.16441274935987,1.505842315994258,0.8414516853558067,0.08333333333333333,72,1.1747727724690096
standardized_exclusion_repeat,4,P1-F_generic_posterior_integral_affine,0p5_0p9,2.6842887374704825,3.215937190911538,2.2655539889612553,0.05555555555555555,72,2.6682593569185933
standardized_exclusion_repeat,4,P1-F_solvai_conditioned_posterior_integral_affine,0p5_0p9,1.8802929295962514,2.3582228362007833,1.6768161101877777,0.06944444444444445,72,1.9076702752326413
standardized_exclusion_repeat,4,P1-F_generic_posterior_integral_affine,0p1_0p5_0p9,1.4218532718058905,1.7460466206620282,1.2622433454688102,0.08333333333333333,72,1.4263894648821729
standardized_exclusion_repeat,4,P1-F_solvai_conditioned_posterior_integral_affine,0p1_0p5_0p9,1.3605552348982728,1.666490487948264,1.2844968083036024,0.1111111111111111,72,1.3737228913972488
