partition,repeat,trajectory_fraction,lambda,component,n,mae
standardized_exclusion_repeat,1,0.4,0.9,coulomb_softcore,72,1.0178678157502445
standardized_exclusion_repeat,1,0.4,0.9,long_range_correction,72,0.012377825659981074
standardized_exclusion_repeat,1,0.4,0.9,pme,72,0.029193703459552425
standardized_exclusion_repeat,1,0.4,0.9,total,72,4.78025405821691
standardized_exclusion_repeat,1,0.4,0.9,van_der_waals,72,1.496698429681975
standardized_exclusion_repeat,1,0.4,0.9,van_der_waals_softcore,72,0.12823270271375856
standardized_exclusion_repeat,1,0.7,0.1,coulomb,72,5.067831624414759
standardized_exclusion_repeat,1,0.7,0.1,coulomb_softcore,72,3.5567417510190698
standardized_exclusion_repeat,1,0.7,0.1,long_range_correction,72,0.10534513374305551
standardized_exclusion_repeat,1,0.7,0.1,pme,72,0.5099917789957773
standardized_exclusion_repeat,1,0.7,0.1,total,72,4.4252608318914755
standardized_exclusion_repeat,1,0.7,0.1,van_der_waals,72,5.24562588766533
standardized_exclusion_repeat,1,0.7,0.1,van_der_waals_softcore,72,1.8515868356820786
standardized_exclusion_repeat,1,0.7,0.5,coulomb,72,4.452962177667688
standardized_exclusion_repeat,1,0.7,0.5,coulomb_softcore,72,2.492088765309619
standardized_exclusion_repeat,1,0.7,0.5,long_range_correction,72,0.058970908333841256
standardized_exclusion_repeat,1,0.7,0.5,pme,72,0.1749846185480134
standardized_exclusion_repeat,1,0.7,0.5,total,72,2.6282394718047577
standardized_exclusion_repeat,1,0.7,0.5,van_der_waals,72,3.9681133673646536
standardized_exclusion_repeat,1,0.7,0.5,van_der_waals_softcore,72,0.9019875511920176
standardized_exclusion_repeat,1,0.7,0.9,coulomb,72,4.364108883920564
standardized_exclusion_repeat,1,0.7,0.9,coulomb_softcore,72,0.8439945213383804
standardized_exclusion_repeat,1,0.7,0.9,long_range_correction,72,0.011948534155205736
standardized_exclusion_repeat,1,0.7,0.9,pme,72,0.024485793705079046
standardized_exclusion_repeat,1,0.7,0.9,total,72,3.9451829632193998
standardized_exclusion_repeat,1,0.7,0.9,van_der_waals,72,1.3337740676830903
standardized_exclusion_repeat,1,0.7,0.9,van_der_waals_softcore,72,0.10969436826869398
standardized_exclusion_repeat,1,1.0,0.1,coulomb,72,4.838193515642547
standardized_exclusion_repeat,1,1.0,0.1,coulomb_softcore,72,3.2687142651782324
standardized_exclusion_repeat,1,1.0,0.1,long_range_correction,72,0.10521689379499481
standardized_exclusion_repeat,1,1.0,0.1,pme,72,0.5355374502490673
standardized_exclusion_repeat,1,1.0,0.1,total,72,4.561602230526633
standardized_exclusion_repeat,1,1.0,0.1,van_der_waals,72,4.878978618334936
standardized_exclusion_repeat,1,1.0,0.1,van_der_waals_softcore,72,1.7818314587364175
standardized_exclusion_repeat,1,1.0,0.5,coulomb,72,4.177800147858722
standardized_exclusion_repeat,1,1.0,0.5,coulomb_softcore,72,2.3638373750324626
standardized_exclusion_repeat,1,1.0,0.5,long_range_correction,72,0.05889604030884607
standardized_exclusion_repeat,1,1.0,0.5,pme,72,0.16968888574007293
standardized_exclusion_repeat,1,1.0,0.5,total,72,2.3598445487792317
standardized_exclusion_repeat,1,1.0,0.5,van_der_waals,72,3.745306439343196
standardized_exclusion_repeat,1,1.0,0.5,van_der_waals_softcore,72,0.8646301595898008
standardized_exclusion_repeat,1,1.0,0.9,coulomb,72,3.927451142489008
standardized_exclusion_repeat,1,1.0,0.9,coulomb_softcore,72,0.7363208369413695
standardized_exclusion_repeat,1,1.0,0.9,long_range_correction,72,0.011955747454356267
standardized_exclusion_repeat,1,1.0,0.9,pme,72,0.02220235490983523
standardized_exclusion_repeat,1,1.0,0.9,total,72,3.433930355073042
standardized_exclusion_repeat,1,1.0,0.9,van_der_waals,72,1.242828838018006
standardized_exclusion_repeat,1,1.0,0.9,van_der_waals_softcore,72,0.09955184718120624
standardized_exclusion_repeat,2,0.1,0.1,coulomb,72,6.597678673867866
standardized_exclusion_repeat,2,0.1,0.1,coulomb_softcore,72,4.547654738906595
standardized_exclusion_repeat,2,0.1,0.1,long_range_correction,72,0.11694106541218513
standardized_exclusion_repeat,2,0.1,0.1,pme,72,0.700937791007162
standardized_exclusion_repeat,2,0.1,0.1,total,72,6.520251680517213
standardized_exclusion_repeat,2,0.1,0.1,van_der_waals,72,6.460365416488182
standardized_exclusion_repeat,2,0.1,0.1,van_der_waals_softcore,72,2.3121115413912348
standardized_exclusion_repeat,2,0.1,0.5,coulomb,72,4.786478456000564
standardized_exclusion_repeat,2,0.1,0.5,coulomb_softcore,72,2.732034392015659
