partition,repeat,split_seed,method,lambda_subset,response_scope,trajectory_fraction,shuffle_seed,mae,rmse,median_absolute_error,fraction_with_absolute_error_below_0p2,n
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1_0p5,components,1.0,,0.19507535780706822,0.3027561970693134,0.11410920765213017,0.7083333333333334,72
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1_0p5,components,1.0,,0.1856542722866839,0.2959707205909443,0.10577206356825875,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1_0p5,components,1.0,,0.19218910456977595,0.3010052953196041,0.11514068071156636,0.7361111111111112,72
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1_0p9,components,1.0,,0.19410895661915195,0.3010169752560207,0.11592211975982769,0.6944444444444444,72
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1_0p9,components,1.0,,0.19838208663037735,0.3037836174055672,0.11456650331820373,0.7361111111111112,72
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1_0p9,components,1.0,,0.19029478746435785,0.29932819105112224,0.10554127211404041,0.7361111111111112,72
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p5_0p9,components,1.0,,0.19536415892238387,0.30210954864534156,0.11961103318076338,0.6944444444444444,72
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p5_0p9,components,1.0,,0.1957840247701261,0.30571263062493864,0.10447759645257393,0.6805555555555556,72
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p5_0p9,components,1.0,,0.19158375510305425,0.30259744736584704,0.11221561489128196,0.7361111111111112,72
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1_0p5_0p9,components,1.0,,0.19528532405567375,0.303066988001843,0.12038434916428087,0.6944444444444444,72
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1_0p5_0p9,components,1.0,,0.19171905194569627,0.2995939220659652,0.10596753051522845,0.6944444444444444,72
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1_0p5_0p9,components,1.0,,0.191025509722377,0.3017916082658825,0.11050657866495006,0.7361111111111112,72
standardized_exclusion_repeat,0,314159.0,P1-H_shuffled_residual,0p1_0p5_0p9,total,1.0,88001.0,0.19213298615730562,0.3028307643240353,0.11714323053321918,0.7083333333333334,72
standardized_exclusion_repeat,0,314159.0,P1-H_shuffled_residual,0p1_0p5_0p9,total,1.0,88002.0,0.19172580353676397,0.30624193103824676,0.11569233844627003,0.6944444444444444,72
standardized_exclusion_repeat,0,314159.0,P1-H_shuffled_residual,0p1_0p5_0p9,total,1.0,88003.0,0.19305238287825197,0.3033355162168132,0.11587300158716626,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-H_shuffled_residual,0p1_0p5_0p9,total,1.0,88004.0,0.1919994532060837,0.300744256457522,0.11427728310444163,0.7222222222222222,72
